favorite_count,hashtag,retweet_count,tweet_id
0,None,5711,879130579576475649
19746,None,3936,879050749262655488
16724,None,2230,879008229531029506
17086,PrideMonthPuppo,3419,878776093423087618
26356,None,5897,878604707211726852
0,None,1070,878404777348136964
0,None,5501,878316110768087041
6755,None,1070,878281511006478336
37018,None,5711,878057613040115712
69046,None,15734,877736472329191424
0,None,70,877611172832227328
19838,None,3152,877556246731214848
24069,None,4321,877316821321428993
23796,None,4602,877201837425926144
18165,None,2795,876838120628539392
20989,None,3962,876537666061221889
16510,None,1989,876484053909872640
24610,None,3890,876120275196170240
22034,None,3567,875747767867523072
19368,None,4132,875144289856114688
24169,None,5094,875097192612077568
22489,None,3954,875021211251597312
24521,None,3906,874680097055178752
0,None,12159,874434818259525634
22884,None,3471,874296783580663808
20056,None,3368,874057562936811520
30024,PrideMonth,8551,874012996292530176
21311,None,3333,873580283840344065
0,None,1327,873337748698140672
6302,None,1327,873213775632977920
23980,None,4544,872967104147763200
13031,dogsatpollingstations,3157,872820683541237760
18273,PrideMonth,3058,872620804844003328
35988,None,7683,872486979161796608
30104,None,6803,872122724285648897
32968,PrideMonth,9209,871879754684805121
17818,None,2958,871762521631449091
17846,None,2924,871515927908634625
0,None,4878,871166179821445120
18489,None,4652,871102520638267392
20093,None,3213,871032628920680449
29703,None,5264,870804317367881728
105,None,3,870726314365509632
10857,None,2190,870656317836468226
73717,None,22657,870374049280663552
19420,None,3534,870308999962521604
32310,None,7050,870063196459192321
37894,None,8659,869772420881756160
24966,None,5363,869702957897576449
14149,None,2629,869596645499047938
18083,None,3188,869227993411051520
57751,None,12200,868880397819494401
0,None,1742,868639477480148993
23570,None,4444,868622495443632128
8936,None,1742,868552278524837888
21533,None,3554,867900495410671616
30166,None,6229,867774946302451713
14297,None,2109,867421006826221569
0,None,100,867072653475098625
28608,None,6755,867051520902168576
17805,None,4118,866720684873056260
17069,None,2953,866686824827068416
108499,None,30058,866450705531457537
46425,None,12159,866334964761202691
0,None,7133,866094527597207552
22857,None,4814,865718153858494464
23520,None,4271,865359393868664832
24960,None,6634,865006731092295680
28752,None,7475,864873206498414592
13032,None,2571,864279568663928832
26551,None,7555,864197398364647424
18381,None,3577,863907417377173506
13634,None,3612,863553081350529029
0,None,2084,863471782782697472
21225,None,4543,863432100342583297
1956,None,80,863427515083354112
7863,None,949,863079547188785154
7502,None,2084,863062471531167744
17178,None,4443,862831371563274240
15289,None,3075,862722525377298433
18216,None,4231,862457590147678208
66063,None,19905,862096992088072192
32188,None,9228,861383897657036800
15304,None,3574,861288531465048066
14940,None,3319,861005113778896900
0,None,1850,860981674716409858
0,None,675,860924035999428608
6701,None,1850,860563773140209665
21198,None,4582,860524505164394496
16528,None,3056,860276583193509888
14965,None,5104,860184849394610176
0,None,26611,860177593139703809
17574,None,3573,859924526012018688
13946,None,3058,859851578198683649
16791,None,1360,859607811541651456
80304,None,26174,859196978902773760
30335,None,11920,859074603037188101
0,None,7050,858860390427611136
14090,None,3018,858843525470990336
19421,None,4241,858471635011153920
14189,None,2532,858107933456039936
14452,None,2259,857989990357356544
30708,None,9312,857746408056729600
5291,None,1437,857393404942143489
18205,None,3959,857263160327368704
203,None,16,857214891891077121
0,None,146,857062103051644929
17002,None,3472,857029823797047296
14791,None,2534,856543823941562368
10792,None,1651,856526610513747968
489,None,15,856288084350160898
25166,None,5564,856282028240666624
302,None,21,855862651834028034
4396,None,849,855860136149123072
10835,None,1853,855857698524602368
41814,ScienceMarch,16076,855851453814013952
24219,None,4798,855818117272018944
27027,None,7282,855459453768019968
0,None,5246,855245323840757760
0,None,36,855138241867124737
20605,None,5327,854732716440526848
26496,None,6000,854482394044301312
17156,None,4132,854365224396361728
29149,None,6571,854120357044912130
14801,None,2784,854010172552949760
26012,None,5103,853760880890318849
31453,None,8836,853639147608842240
14130,None,3160,853299958564483072
0,None,1782,852936405516943360
8229,None,1591,852912242202992640
13611,None,1904,852672615818899456
14856,None,3100,852553447878664193
30277,None,8840,852311364735569921
18305,None,6071,852226086759018497
10553,None,1415,852189679701164033
14921,None,3118,851591660324737024
